epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.434,1.28159,1.55316,1.19823,0.82847,0.72133,0.79046,0.47361,1.36925,1.18287,1.28591,0.000554492,0.000554492,0.000554492
2,454.785,1.31363,1.07081,1.21575,0.87303,0.73456,0.82401,0.52044,1.26052,1.05938,1.1964,0.0010662,0.0010662,0.0010662
3,657.249,1.27379,1.01472,1.1868,0.86988,0.77425,0.8579,0.56488,1.16652,0.97678,1.13284,0.00153389,0.00153389,0.00153389
4,860.695,1.22632,0.94242,1.16786,0.82924,0.733,0.79123,0.52356,1.23003,1.01731,1.17636,0.00146896,0.00146896,0.00146896
5,1063.68,1.18247,0.87365,1.14007,0.90631,0.83901,0.8959,0.62309,1.05599,0.74912,1.07454,0.00140295,0.00140295,0.00140295
6,1264.49,1.12097,0.80452,1.10993,0.91184,0.84178,0.90214,0.62824,1.0672,0.71678,1.0682,0.00133693,0.00133693,0.00133693
7,1466.98,1.09951,0.76907,1.09552,0.93542,0.86583,0.91922,0.66161,0.99839,0.63977,1.0303,0.00127092,0.00127092,0.00127092
8,1668.12,1.05332,0.7255,1.07821,0.93319,0.87853,0.92538,0.67325,0.97057,0.60937,1.01233,0.00120491,0.00120491,0.00120491
9,1869.71,1.02967,0.69671,1.06209,0.92395,0.88373,0.92904,0.67642,0.95211,0.60302,1.00662,0.00113889,0.00113889,0.00113889
10,2069.84,1.01574,0.67716,1.05615,0.91804,0.87644,0.91721,0.68509,0.92368,0.60836,1.00434,0.00107288,0.00107288,0.00107288
11,2271.34,0.98333,0.644,1.04469,0.93582,0.89769,0.93827,0.70369,0.91918,0.54432,0.99194,0.00100687,0.00100687,0.00100687
12,2471.83,0.96425,0.62054,1.02951,0.93694,0.88737,0.94063,0.70941,0.89343,0.53364,0.98273,0.000940855,0.000940855,0.000940855
13,2672.04,0.94139,0.60482,1.02373,0.94733,0.89529,0.94315,0.72009,0.8685,0.49837,0.96652,0.000874842,0.000874842,0.000874842
14,2873.08,0.9239,0.58917,1.01406,0.95372,0.90488,0.94697,0.72082,0.87169,0.4984,0.97279,0.000808828,0.000808828,0.000808828
15,3073.01,0.91261,0.57084,1.00846,0.94726,0.91349,0.95031,0.73559,0.85976,0.4799,0.96074,0.000742815,0.000742815,0.000742815
16,3269.78,0.88971,0.5182,0.98592,0.95453,0.90878,0.9547,0.73186,0.86251,0.48233,0.95965,0.000676802,0.000676802,0.000676802
17,3462.94,0.85813,0.49012,0.97516,0.95676,0.92294,0.95599,0.73952,0.84437,0.45806,0.95148,0.000610789,0.000610789,0.000610789
18,3657.44,0.83595,0.47386,0.96571,0.95554,0.9249,0.957,0.74644,0.83292,0.45108,0.944,0.000544776,0.000544776,0.000544776
19,3850.34,0.82432,0.45907,0.9565,0.96249,0.92567,0.96054,0.76045,0.80325,0.43079,0.93192,0.000478762,0.000478762,0.000478762
20,4044.24,0.79789,0.44033,0.94809,0.95775,0.92845,0.96022,0.7605,0.79469,0.42325,0.92687,0.000412749,0.000412749,0.000412749
21,4238.95,0.78174,0.42781,0.93939,0.95646,0.93069,0.96298,0.76557,0.78965,0.4163,0.92277,0.000346736,0.000346736,0.000346736
22,4434.99,0.77224,0.41523,0.9367,0.96459,0.93013,0.96543,0.7758,0.77106,0.40682,0.91622,0.000280723,0.000280723,0.000280723
23,4628.62,0.75256,0.39978,0.9274,0.96125,0.9374,0.96558,0.77675,0.76572,0.39356,0.91479,0.00021471,0.00021471,0.00021471
24,4821.83,0.73456,0.38298,0.91751,0.96106,0.93646,0.96724,0.78291,0.74993,0.38511,0.90829,0.000148696,0.000148696,0.000148696
25,5015.83,0.72087,0.37585,0.91271,0.96757,0.93634,0.96819,0.78411,0.74953,0.37898,0.90852,8.26832e-05,8.26832e-05,8.26832e-05
