epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.997,1.26701,2.55316,1.02645,0.74716,0.77067,0.74136,0.52918,1.22166,2.08349,1.00128,0.0002125,0.0002125,0.0002125
2,118.263,1.03255,1.05499,0.94234,0.75179,0.77614,0.76757,0.54766,1.15162,1.448,0.9545,0.000428838,0.000428838,0.000428838
3,188.495,1.05197,0.86529,0.94639,0.92149,0.3857,0.4491,0.31247,1.15743,1.37876,0.97857,0.000636265,0.000636265,0.000636265
4,282.565,0.97351,0.75323,0.91979,0.9204,0.51285,0.58667,0.41224,1.11367,1.19576,0.96153,0.000834782,0.000834782,0.000834782
5,389.493,0.94865,0.71199,0.92915,0.7771,0.47948,0.51329,0.3575,1.11592,1.05824,0.96576,0.00102439,0.00102439,0.00102439
6,479.04,0.99175,0.69368,0.93913,0.85421,0.62618,0.68387,0.47351,1.07604,1.04064,0.97223,0.00112625,0.00112625,0.00112625
7,573.114,0.95724,0.63242,0.91698,0.87095,0.54262,0.59424,0.4115,1.08238,1.06078,0.97203,0.0011015,0.0011015,0.0011015
8,789.892,0.93923,0.6026,0.91243,0.9234,0.69884,0.75879,0.52439,1.06353,0.87271,0.94895,0.00107675,0.00107675,0.00107675
9,1043.22,0.95161,0.62044,0.91924,0.8734,0.7838,0.86162,0.60913,1.04095,0.90585,0.95699,0.001052,0.001052,0.001052
10,1201.65,0.93834,0.60302,0.91479,0.93919,0.74175,0.81411,0.55994,1.12616,0.8302,0.96558,0.00102725,0.00102725,0.00102725
11,1302.19,0.86358,0.5607,0.90359,0.90821,0.80114,0.87084,0.5937,1.10144,0.75344,0.94926,0.0010025,0.0010025,0.0010025
12,1383.51,0.90799,0.54583,0.91353,0.90133,0.84065,0.87841,0.61133,1.04845,0.75455,0.94193,0.00097775,0.00097775,0.00097775
13,1498.32,0.89959,0.56005,0.91263,0.88177,0.80684,0.85299,0.59332,0.99616,0.91736,0.91178,0.000953,0.000953,0.000953
14,1597.31,0.88704,0.53618,0.91194,0.84616,0.62514,0.58002,0.4539,1.05781,1.81388,0.94631,0.00092825,0.00092825,0.00092825
15,1712.82,0.8679,0.52934,0.90452,0.90681,0.74969,0.8099,0.57696,1.13125,0.78722,0.952,0.0009035,0.0009035,0.0009035
16,1831.06,0.83904,0.50743,0.88784,0.85848,0.81364,0.83046,0.59782,1.00865,0.80118,0.92224,0.00087875,0.00087875,0.00087875
17,1940.48,0.89567,0.53717,0.9028,0.94477,0.83523,0.8742,0.63059,0.97944,0.68896,0.91618,0.000854,0.000854,0.000854
18,2048.2,0.81973,0.49039,0.87654,0.93781,0.80927,0.86477,0.62319,0.99176,0.73984,0.91942,0.00082925,0.00082925,0.00082925
19,2155.37,0.856,0.49995,0.88843,0.93151,0.8358,0.87957,0.65104,0.95409,0.68348,0.90651,0.0008045,0.0008045,0.0008045
20,2269.11,0.83991,0.50469,0.887,0.87831,0.84432,0.86663,0.65894,0.98637,0.70067,0.91207,0.00077975,0.00077975,0.00077975
21,2376.98,0.77977,0.47389,0.88057,0.94738,0.85585,0.89614,0.67649,0.94607,0.70435,0.90099,0.000755,0.000755,0.000755
22,2467.45,0.81923,0.47859,0.88266,0.9362,0.85455,0.88729,0.66908,0.95547,0.70156,0.89701,0.00073025,0.00073025,0.00073025
23,2554.05,0.82504,0.48257,0.88001,0.95191,0.84205,0.89272,0.67168,0.94796,0.66623,0.89472,0.0007055,0.0007055,0.0007055
24,2650.23,0.79751,0.4785,0.87913,0.90207,0.85909,0.87986,0.64502,0.96861,0.74113,0.90001,0.00068075,0.00068075,0.00068075
25,2735.44,0.78087,0.45899,0.87337,0.94617,0.80922,0.87395,0.65364,0.98263,0.67176,0.90066,0.000656,0.000656,0.000656
26,2823.57,0.76577,0.4393,0.8662,0.93134,0.84886,0.89592,0.66774,0.92761,0.60938,0.88855,0.00063125,0.00063125,0.00063125
27,2923.44,0.75746,0.43307,0.87141,0.93563,0.84205,0.88305,0.66311,0.96132,0.65828,0.89464,0.0006065,0.0006065,0.0006065
28,3007.28,0.7531,0.43001,0.8681,0.96111,0.86288,0.9009,0.68259,0.93388,0.59071,0.89566,0.00058175,0.00058175,0.00058175
29,3109.9,0.80413,0.45093,0.88368,0.95614,0.82045,0.8937,0.67097,0.95278,0.66629,0.89041,0.000557,0.000557,0.000557
30,3219.03,0.74013,0.43253,0.86422,0.94871,0.88553,0.90373,0.68727,0.95159,0.6161,0.89555,0.00053225,0.00053225,0.00053225
31,3322.54,0.76546,0.44317,0.86644,0.94463,0.88921,0.893,0.68431,0.89049,0.60312,0.87878,0.0005075,0.0005075,0.0005075
32,3409.48,0.73817,0.42164,0.87143,0.9269,0.88988,0.89769,0.67212,0.9207,0.61472,0.88259,0.00048275,0.00048275,0.00048275
33,3492.22,0.75211,0.41257,0.87175,0.95381,0.88247,0.9098,0.70699,0.8958,0.59381,0.88146,0.000458,0.000458,0.000458
34,3579.55,0.70846,0.39664,0.859,0.96043,0.89763,0.90419,0.707,0.88683,0.60061,0.88106,0.00043325,0.00043325,0.00043325
35,3678.91,0.72588,0.40027,0.86345,0.9136,0.89098,0.89457,0.6922,0.91958,0.59668,0.88879,0.0004085,0.0004085,0.0004085
36,3765.99,0.7299,0.39726,0.86118,0.92624,0.88506,0.90646,0.70783,0.86115,0.56327,0.87002,0.00038375,0.00038375,0.00038375
37,3853.54,0.73406,0.39314,0.86225,0.89564,0.90114,0.91599,0.72264,0.8798,0.56054,0.87473,0.000359,0.000359,0.000359
38,3944.95,0.71154,0.37895,0.84862,0.92162,0.89077,0.90773,0.72042,0.87012,0.55188,0.87165,0.00033425,0.00033425,0.00033425
39,4043.37,0.70489,0.37131,0.86089,0.92153,0.8933,0.91683,0.72227,0.87505,0.5907,0.87242,0.0003095,0.0003095,0.0003095
40,4157.51,0.68262,0.36381,0.85079,0.92505,0.8827,0.91017,0.70635,0.87872,0.58205,0.87295,0.00028475,0.00028475,0.00028475
41,4299.71,0.68949,0.3674,0.84179,0.93152,0.87623,0.9169,0.71359,0.87641,0.54852,0.87314,0.00026,0.00026,0.00026
42,4400.86,0.68125,0.35523,0.84042,0.93263,0.8821,0.91731,0.72716,0.87119,0.54233,0.87469,0.00023525,0.00023525,0.00023525
43,4531.3,0.67854,0.34553,0.84708,0.98304,0.88102,0.92465,0.74095,0.86056,0.53172,0.87101,0.0002105,0.0002105,0.0002105
44,4669.4,0.66458,0.34502,0.84056,0.93381,0.89963,0.922,0.73036,0.8678,0.54309,0.87183,0.00018575,0.00018575,0.00018575
45,4778.91,0.66074,0.34493,0.8396,0.94241,0.87955,0.91911,0.72333,0.87217,0.55173,0.87185,0.000161,0.000161,0.000161
46,4879.68,0.6498,0.33851,0.83604,0.94482,0.89659,0.91025,0.72227,0.86254,0.51757,0.86946,0.00013625,0.00013625,0.00013625
47,4995.81,0.65248,0.33684,0.84438,0.93533,0.88226,0.90846,0.72424,0.85167,0.52946,0.86842,0.0001115,0.0001115,0.0001115
48,5088.67,0.64341,0.33044,0.82956,0.93617,0.87955,0.91189,0.72787,0.85502,0.53096,0.86986,8.675e-05,8.675e-05,8.675e-05
49,5179.46,0.63753,0.32591,0.83091,0.94342,0.89061,0.91339,0.72883,0.85348,0.51571,0.86662,6.2e-05,6.2e-05,6.2e-05
50,5274.11,0.6252,0.32486,0.83105,0.94766,0.88872,0.91458,0.7285,0.85525,0.51552,0.86601,3.725e-05,3.725e-05,3.725e-05
