epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.68,1.34173,2.34563,1.03013,0.88096,0.83889,0.90046,0.5844,1.13407,0.90426,0.94603,0.000551185,0.000551185,0.000551185
2,184.146,1.12878,0.80527,0.97098,0.82689,0.83233,0.88215,0.61645,1.0473,0.84122,0.92282,0.00106302,0.00106302,0.00106302
3,262.144,1.10113,0.74822,0.95559,0.94063,0.87071,0.9111,0.62861,1.03678,0.77837,0.91529,0.00153085,0.00153085,0.00153085
4,341.702,1.08114,0.71133,0.95046,0.91743,0.87277,0.91884,0.64563,1.03932,0.74608,0.92717,0.00146896,0.00146896,0.00146896
5,420.777,1.05583,0.68158,0.94646,0.9562,0.88947,0.92562,0.67649,0.97679,0.66444,0.90368,0.00140295,0.00140295,0.00140295
6,499.614,1.03821,0.67067,0.94394,0.93642,0.87767,0.93487,0.68952,0.93576,0.58477,0.89583,0.00133693,0.00133693,0.00133693
7,577.422,1.0059,0.63207,0.93824,0.94837,0.89764,0.93626,0.6909,0.91832,0.62714,0.89802,0.00127092,0.00127092,0.00127092
8,656.805,0.98823,0.60687,0.91907,0.94765,0.91008,0.9425,0.69096,0.88665,0.568,0.88539,0.00120491,0.00120491,0.00120491
9,734.963,0.96222,0.58706,0.9194,0.95927,0.91709,0.94657,0.69984,0.9313,0.54543,0.89146,0.00113889,0.00113889,0.00113889
10,816.118,0.94323,0.57461,0.90727,0.95535,0.89375,0.94591,0.70656,0.89949,0.52608,0.88388,0.00107288,0.00107288,0.00107288
11,894.422,0.91707,0.55579,0.90461,0.95745,0.9092,0.94858,0.69789,0.90353,0.5364,0.88656,0.00100687,0.00100687,0.00100687
12,974.78,0.90313,0.52528,0.90013,0.92816,0.92755,0.94676,0.73119,0.83295,0.49725,0.87165,0.000940855,0.000940855,0.000940855
13,1053.46,0.89029,0.51788,0.90084,0.95971,0.92566,0.95283,0.71565,0.8874,0.4753,0.87356,0.000874842,0.000874842,0.000874842
14,1132.78,0.89572,0.52589,0.89672,0.95839,0.92318,0.95437,0.73425,0.8528,0.46737,0.87178,0.000808828,0.000808828,0.000808828
15,1211.47,0.8672,0.48801,0.88513,0.96086,0.92789,0.95736,0.74688,0.81578,0.45626,0.86513,0.000742815,0.000742815,0.000742815
16,1292.97,0.84726,0.48287,0.88807,0.96031,0.92818,0.95854,0.74007,0.83672,0.45598,0.86651,0.000676802,0.000676802,0.000676802
17,1370.89,0.8376,0.46207,0.88776,0.97332,0.92262,0.95956,0.7349,0.86044,0.45657,0.86849,0.000610789,0.000610789,0.000610789
18,1448.06,0.8311,0.4622,0.88388,0.95365,0.9356,0.95646,0.74865,0.81801,0.44519,0.86001,0.000544776,0.000544776,0.000544776
19,1525.35,0.80796,0.42816,0.87964,0.96524,0.93142,0.96372,0.76133,0.80792,0.42242,0.85671,0.000478762,0.000478762,0.000478762
20,1603.76,0.79785,0.42686,0.88025,0.95974,0.94075,0.96279,0.76119,0.78481,0.40942,0.8535,0.000412749,0.000412749,0.000412749
21,1681.04,0.77856,0.40972,0.87007,0.96135,0.94272,0.96544,0.77075,0.76999,0.40694,0.85089,0.000346736,0.000346736,0.000346736
22,1758.86,0.77166,0.40331,0.87153,0.95646,0.94491,0.96501,0.77087,0.78048,0.4019,0.85306,0.000280723,0.000280723,0.000280723
23,1835.76,0.75285,0.39373,0.86461,0.96196,0.94408,0.9659,0.77647,0.77318,0.39612,0.84835,0.00021471,0.00021471,0.00021471
24,1913.99,0.75048,0.39023,0.86218,0.95725,0.94727,0.96506,0.76976,0.76256,0.39439,0.84705,0.000148696,0.000148696,0.000148696
25,1990.84,0.73423,0.3755,0.85408,0.96372,0.94635,0.96828,0.78385,0.74173,0.3778,0.84354,8.26832e-05,8.26832e-05,8.26832e-05
